Näringsvärden per 100 gram livsmedel
Livsmedelsnamn;Livsmedelsnummer;Energi (kJ)(kJ);Energi (kcal)(kcal);Protein(g);Fett(g);Kolhydrater(g);Fibrer(g);Salt(g);Aska(g);Vatten(g);Alkohol(g);Monosackarider(g);Disackarider(g);Sackaros(g);Fullkorn totalt(g);Summa mättade fettsyror(g);Fettsyra 4:0-10:0(g);Fettsyra 12:0(g);Fettsyra 14:0(g);Fettsyra 16:0(g);Fettsyra 18:0(g);Fettsyra 20:0(g);Summa enkelomättade fettsyror(g);Fettsyra 16:1(g);Fettsyra 18:1(g);Summa fleromättade fettsyror(g);Summa n-6 fettsyror(g);Fettsyra 18:2(g);Fettsyra 20:4(g);Summa n-3 fettsyror(g);Fettsyra 18:3(g);Summa långa n-3 fettsyror(g);EPA (Fettsyra 20:5)(g);DPA (Fettsyra 22:5)(g);DHA (Fettsyra 22:6)(g);Summa transfettsyror(g);Kolesterol(mg);Vitamin A();Retinol(µg);beta-Karoten(µg);Vitamin D(µg);Vitamin E(mg);Vitamin K(µg);Tiamin(mg);Riboflavin(mg);Vitamin C(mg);Niacin(mg);Niacinekvivalenter();Vitamin B6(mg);Vitamin B12(µg);Fosfor(mg);Folat(µg);Jod(µg);Avfall (skal etc.)(%);Järn(mg);Kalcium(mg);Kalium(mg);Magnesium(mg);Natrium(mg);Selen(µg);Zink(mg);
Gurkmajonnäs el gurksallad gatukök;51;1392;333;0,8;32,0;10,9;1,1;0,5;1,2;54,0;0,0;5,6;4,6;4,6;0;3,8;0,0;0,0;0,0;2,5;0,9;0,2;13,2;0,1;12,8;13,5;;11,1;0,0;;2,4;;0,0;0,0;0,0;;48,0;79;60;230;0,00;2,1;;0,00;0,01;0;0,3;0,5;0,01;0,20;50;13;;0;0,60;24;24;10;187;0,4;0,20;
Räkmajonnäs el räksallad gatukök;52;1914;457;5,2;48,0;2,9;0,0;1,0;1,4;42,5;0,0;0,0;1,2;1,2;0;5,7;0,0;0,0;0,0;3,8;1,4;0,2;19,6;0,1;18,9;20,4;;16,8;0,0;;3,6;;0,0;0,0;0,0;;101,0;93;93;0;0,12;3,2;;0,01;0,03;0;0,4;1,7;0,07;1,00;71;10;;0;0,70;31;30;14;397;4,5;0,30;
Lättmajonnäs 32,5% fett;53;1367;327;1,2;32,5;8,5;0,0;1,3;1,6;56,2;0,0;0,1;1,8;1,8;0;3,1;0,0;0,0;0,0;1,2;0,7;0,1;6,2;0,1;6,1;20,4;;18,1;0,0;;2,3;;0,0;0,0;0,0;;40,0;60;60;0;0,00;2,5;;0,00;0,02;0;0,0;0,3;0,04;0,40;26;7;;0;0,10;14;9;2;500;1,0;0,10;
Grönsaksmajonnäs;54;901;215;1,7;20,9;4,8;1,9;0,7;0,9;69,8;0,0;1,3;2,4;2,2;0;2,3;0,1;0,0;0,1;1,6;0,5;0,1;4,0;0,0;3,9;12,8;0,0;11,4;0,0;0,0;1,4;0,0;0,0;0,0;0,0;0,0;32,0;295;43;2423;0,00;1,4;;0,05;0,05;3;0,4;0,7;0,08;0,26;39;18;1;0;0,53;23;104;10;263;0,6;0,36;
Mimosasallad;55;625;149;0,8;11,8;9,6;1,3;0,4;0,8;75,6;0,0;5,1;3,5;3,3;0;3,3;0,3;0,1;0,4;1,8;0,6;0,0;6,1;0,1;5,8;1,7;1,1;1,2;0,0;0,4;0,4;0,0;0,0;0,0;0,0;0,1;17,5;42;37;60;0,03;2,6;9;0,04;0,04;18;0,4;0,6;0,04;0,06;22;11;20;13;0,22;23;142;8;154;0,7;0,11;
Rödbetssallad gräddfil;56;285;68;1,4;2,1;10,2;1,4;1,2;1,5;83,4;0,0;4,2;5,2;4,6;0;1,3;0,2;0,1;0,2;0,6;0,2;0,0;0,5;0,0;0,4;0,1;0,0;0,1;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,1;5,9;18;17;16;0,01;0,1;0;0,01;0,03;4;0,1;0,4;0,03;0,04;29;15;44;2;0,21;31;157;9;482;0,3;0,23;
Skaldjurssallad m majonnäsdressing;57;451;108;8,7;6,7;2,8;1,0;0,8;1,6;79,3;0,0;0,8;0,9;0,6;0;1,2;0,1;0,0;0,1;0,7;0,2;0,0;1,3;0,1;1,2;3,4;0,0;2,9;0,0;0,1;0,4;0,0;0,1;0,0;0,1;0,0;66,5;44;26;208;0,13;1,5;4;0,06;0,11;8;1,2;2,8;0,11;1,70;124;40;17;15;1,27;52;187;25;336;12,4;1,11;
Bearnaisesås;58;2076;496;2,5;54,4;1,2;0,1;0,6;1,0;40,1;0,0;0,2;0,1;0,1;0;6,1;0,1;0,0;0,1;3,8;1,4;0,3;31,1;0,3;30,0;14,4;9,3;10,2;0,1;3,7;4,0;0,0;0,0;0,0;0,0;0,3;152,7;268;252;185;3,20;15,1;61;0,04;0,09;3;0,0;0,7;0,04;0,54;86;29;26;0;0,59;31;41;5;258;9,0;0,56;
Hollandaisesås;59;2312;553;2,7;61,1;0,5;0,0;0,7;1,1;33,9;0,0;0,1;0,1;0,0;0;6,9;0,1;0,0;0,1;4,2;1,6;0,3;34,9;0,3;33,7;16,2;10,5;11,5;0,1;4,1;4,5;0,0;0,0;0,0;0,1;0,3;171,3;292;283;116;3,59;16,9;69;0,04;0,09;2;0,0;0,7;0,04;0,60;91;30;29;0;0,56;26;24;3;287;10,2;0,59;
Rhode Island sås;60;1504;360;2,0;36,7;6,4;0,4;1,1;1,7;52,8;0,0;1,8;3,7;2,4;0;9,0;0,8;0,3;1,0;4,9;1,6;0,1;20,1;0,3;19,3;5,5;3,9;4,0;0,0;1,3;1,4;0,0;0,0;0,0;0,0;0,4;50,5;142;97;546;0,12;7,0;29;0,04;0,08;5;0,4;0,8;0,05;0,21;53;16;28;0;0,50;52;171;11;452;2,2;0,30;
Dressing vinägrett fett  65% ;62;2453;586;0,6;65,0;2,2;0,0;2,0;2,2;30,0;0,0;0,2;0,8;0,8;0;9,5;0,0;0,0;0,0;6,8;2,2;0,3;15,5;0,0;15,4;37,1;;32,4;0,0;;4,7;;0,0;0,0;0,0;;0,0;0;0;0;0,00;6,2;;0,00;0,00;0;0,0;0,1;0,00;0,00;24;0;;0;0,30;22;22;18;780;0,0;0,10;
